Title,Rating TripAvisdor,Voters TripAvisdor
Quality Italian,4.0,833
Quality Bistro,4.5,30
" Jams, 6th Avenue, New York, NY, USA",4.0,523
 Cafe Cluny,4.0,367
 Rosemary's,4.0,664
 Freemans Restaurant,4.0,690
 Fraunces Tavern,4.0,1476
5 o'Clock Somewhere Bar,4.0,4
 Friedman's Lunch,4.5,498
 Fred's,4.0,347
 Antique Garage,4.0,431
 Nobu Fifty Seven,4.5,1846
 Untitled at the Whitney,4.0,445
LandShark Bar & Grill - Times Square,5.0,4
 P.S. Kitchen,4.5,179
 Ear Inn,4.5,217
 La Esquina - SoHo,4.5,1191
 Pershing Square Restaurant,4.0,2541
 Eataly Downtown,4.0,1658
Piccola Cucina Osteria,4.5,2579
 Quality Meats,4.5,2378
 Smoke Jazz Club,4.0,546
 The Harold,4.0,850
 Bea,4.0,348
 The Odeon,4.0,505
 Pret A Manger,4.5,390
 Sarge’s Delicatessen & Diner,4.0,869
 Casa Mono,4.0,525
 The Smith,4.0,1170
 Hunt & Fish Club,4.0,359
Quality Italian,4.0,833
 Souvlaki GR Midtown,4.0,368
 Aureole at Home,4.0,1160
 DB Bistro Moderne,4.0,1428
 Non Solo Piada,5.0,88
 Salumeria Rosi,4.0,387
Margaritaville Restaurant- Times Square,3.5,12
Margaritaville Restaurant- Times Square,3.5,12
 Friedmans,4.0,384
 Cielo at the Mayfair,4.0,297
 Aretsky's Patroon,4.5,188
 Risotteria Melotti NYC,4.5,186
 Pret A Manger,4.5,255
Famous Amadeus Pizza,4.0,44
 Park Avenue Autumn/Winter/Spring/Summer,4.0,561
 George's Restaurant,4.0,889
 Calle Dao Bryant Park,4.5,180
 Monkey Bar,4.0,567
 Bareburger - The Village,4.5,256
Quality Bistro,4.5,30
 Bistro Milano,4.0,629
 Kung Fu Kitchen,4.5,189
" One if by Land, Two if by Sea",4.0,808
 TAO Downtown Restaurant,4.5,1521
 Nougatine at Jean Georges,4.0,1080
Piccola Cucina Osteria,4.5,2579
 Sapori D'Italia,4.5,199
 Caffe Palermo,4.0,560
 Il Cortile Restaurant,4.0,888
 Pappardella,4.0,476
 5 Napkin Burger,4.0,398
ICHIRAN Times Square,4.5,59
 5 Napkin Burger,4.0,735
 El Vez and Burrito Bar,4.0,338
 The Irish American Pub,4.0,321
 Chez Josephine,4.5,980
 Crompton Ale House,4.5,197
LandShark Bar & Grill - Times Square,5.0,4
 Don's Bogam BBQ & Wine Bar,4.5,200
 Jack Doyle's,4.0,355
 Fabio Cucina Italiana,4.5,245
 The Milling Room,4.5,240
 12 Chairs,4.5,245
Quality Italian,4.0,833
5 o'Clock Somewhere Bar,4.0,4
 Pret A Manger,4.0,279
 Bobby Van's Steakhouse - 50th Street,4.0,674
 L'Atelier De Joel Robuchon,4.5,100
 Wo Hop,4.0,1080
 Big Daddy's,4.0,570
Quality Meats,4.5,2378
 The Crooked Knife,4.0,289
 Tessa,4.5,308
 Trading Post,4.5,204
 Cowgirl Seahorse,4.5,251
 Casa Nonna,4.0,672
ICHIRAN Times Square,4.5,59
 Balaboosta,4.5,278
 Empire Steak House,4.5,309
 Uva,4.0,475
 Morning Star Cafe,4.0,417
 O'Donoghue's Pub and Restaurant,4.0,809
Margaritaville Restaurant- Times Square,3.5,12
 Havana Central Restaurant & Rum Bar,4.0,1905
 Pete's Tavern,4.0,435
 Fresco by Scotto,4.0,500
 Pastrami Queen,4.0,447
 Gigino Wagner Park,4.0,398
Famous Amadeus Pizza,4.0,44
 Lupa Osteria Romana,4.0,975
 Cafe China,4.0,566
 Bagatelle,4.0,537
 Osteria al Doge,4.0,1383
 Ariana Afghan Kabab Restaurant,4.5,176
Piccola Cucina Osteria,4.5,2579
 Lattanzi Ristorante,4.0,791
 Almond,4.0,296
 Pret A Manger,4.5,217
 Vaucluse,4.5,287
